rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,slider_start,accuracy,participant_id,ctime
30501,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,30546,0.0-0.0,NA,NA,c457068b-551d-461e-81bd-55a25f8d1b46,2024-03-12 13:08:15 CET
25244,"Please read this text: <br><br><b>Sue runs a fitness club. She has special medals for clients that ran ten miles or more over the weekend. Sue is currently working through a list of clients, who are at all levels of fitness, to identify who gets a medal. When she gets to Jackson, who is obese, Sue says to her husband:<em> ""Jackson ran ten miles.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Jackson ran ten miles?",55,html-slider-response,1,55800,0.0-1.0-0.0,50,NA,c457068b-551d-461e-81bd-55a25f8d1b46,2024-03-12 13:08:15 CET
20394,NA,"{""P0_Q0"":null,""age"":""45"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""""}",survey,2,76471,0.0-2.0,NA,[],c457068b-551d-461e-81bd-55a25f8d1b46,2024-03-12 13:08:15 CET
5500,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,5512,0.0-0.0,NA,NA,ff59c148-e28f-4c67-b5ce-3fd292678d9d,2024-03-12 13:17:47 CET
43654,"Please read this text: <br><br><b>Sue runs a fitness club. She has special medals for clients that ran ten miles or more over the weekend. Sue is currently working through a list of clients, who are at all levels of fitness, to identify who gets a medal. When she gets to Jackson, who is obese, Sue says to her husband:<em> ""Jackson didn't run ten miles.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Jackson ran ten miles?",0,html-slider-response,1,49167,0.0-1.0-0.0,50,NA,ff59c148-e28f-4c67-b5ce-3fd292678d9d,2024-03-12 13:17:47 CET
34130,NA,"{""P0_Q0"":null,""age"":""31"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""edu"":""some college"",""comments"":""""}",survey,2,83340,0.0-2.0,NA,[],ff59c148-e28f-4c67-b5ce-3fd292678d9d,2024-03-12 13:17:47 CET
2038,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,2042,0.0-0.0,NA,NA,f8e0cbce-7bf0-41e7-8f0f-5cadb745a89c,2024-03-12 13:20:12 CET
20222,"Please read this text: <br><br><b>Sue runs a fitness club. She has special medals for clients that ran ten miles or more over the weekend. Sue is currently working through a list of clients, who are at all levels of fitness, to identify who gets a medal. When she gets to Jackson, who is obese, Sue says to her husband:<em> ""Jackson didn't run ten miles.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Jackson ran ten miles?",33,html-slider-response,1,22265,0.0-1.0-0.0,50,NA,f8e0cbce-7bf0-41e7-8f0f-5cadb745a89c,2024-03-12 13:20:12 CET
15559,NA,"{""P0_Q0"":null,""age"":""27"",""gender"":""non-binary"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated high school"",""comments"":""""}",survey,2,37854,0.0-2.0,NA,[],f8e0cbce-7bf0-41e7-8f0f-5cadb745a89c,2024-03-12 13:20:12 CET
8839,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,8848,0.0-0.0,NA,NA,c5837ccd-3337-484e-a389-53ba2052786a,2024-03-12 13:20:38 CET
24189,"Please read this text: <br><br><b>Sue runs a company that connects language learners with remote teachers who live all over the world. She’s trying to figure out the languages spoken by the remote teachers. After consulting her assistant, Cole, who knows the teachers and the languages they speak better than she does, Sue is currently working through a list of teachers to identify who speaks Spanish. When she gets to Charley, who lives in Korea, Sue says to her business partner:<em> ""Cole knows that Charley speaks Spanish.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Charley speaks Spanish?",100,html-slider-response,1,33040,0.0-1.0-0.0,50,NA,c5837ccd-3337-484e-a389-53ba2052786a,2024-03-12 13:20:38 CET
29247,NA,"{""P0_Q0"":null,""age"":""63"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""""}",survey,2,62350,0.0-2.0,NA,[],c5837ccd-3337-484e-a389-53ba2052786a,2024-03-12 13:20:38 CET
2782,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,2793,0.0-0.0,NA,NA,9f1c1bdf-9516-472e-a4a2-1973ef57975c,2024-03-12 13:21:15 CET
38155,"Please read this text: <br><br><b>Sue runs a company that connects language learners with remote teachers who live all over the world. She’s trying to figure out how well her assistant, Cole, knows her remote teachers. Sue’s business partner tells her what Cole said about Charley, who lives in Korea:<em> ""Cole doesn't think that Charley speaks Spanish.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Charley speaks Spanish?",47,html-slider-response,1,40953,0.0-1.0-0.0,50,NA,9f1c1bdf-9516-472e-a4a2-1973ef57975c,2024-03-12 13:21:15 CET
21885,NA,"{""P0_Q0"":null,""age"":""66"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""some college"",""comments"":""""}",survey,2,62924,0.0-2.0,NA,[],9f1c1bdf-9516-472e-a4a2-1973ef57975c,2024-03-12 13:21:15 CET
6187,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,6195,0.0-0.0,NA,NA,85e2fa65-bd08-4e14-91af-88cc155673fb,2024-03-12 14:19:28 CET
35325,"Please read this text: <br><br><b>Sue runs a company that connects language learners with remote teachers who live all over the world. She’s trying to figure out how well her assistant, Cole, knows her remote teachers. Sue’s business partner tells her what Cole said about Charley, who lives in Mexico:<em> ""Cole thinks that Charley speaks Spanish.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Charley speaks Spanish?",70,html-slider-response,1,41523,0.0-1.0-0.0,50,NA,85e2fa65-bd08-4e14-91af-88cc155673fb,2024-03-12 14:19:28 CET
21736,NA,"{""P0_Q0"":null,""age"":""38"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""hold a higher degree"",""comments"":""""}",survey,2,63334,0.0-2.0,NA,[],85e2fa65-bd08-4e14-91af-88cc155673fb,2024-03-12 14:19:28 CET
6848,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,6854,0.0-0.0,NA,NA,ba809ed3-695d-404f-938e-f03611cba180,2024-03-12 14:22:23 CET
41230,"Please read this text: <br><br><b>Sue runs a fitness club. She has special medals for clients that ran ten miles or more over the weekend. After consulting her assistant, Cole, who is better informed about her clients’ activities over the weekend, Sue is currently working through a list of clients, who are at all levels of fitness, to identify who gets a medal. When she gets to Jackson, who is training for a marathon, Sue says to her husband:<em> ""Cole thinks that Jackson ran ten miles.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Jackson ran ten miles?",84,html-slider-response,1,48086,0.0-1.0-0.0,50,NA,ba809ed3-695d-404f-938e-f03611cba180,2024-03-12 14:22:23 CET
16159,NA,"{""P0_Q0"":null,""age"":""38"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""None, thanks""}",survey,2,64291,0.0-2.0,NA,[],ba809ed3-695d-404f-938e-f03611cba180,2024-03-12 14:22:23 CET
11505,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,11508,0.0-0.0,NA,NA,fef10d16-bd14-447d-ae70-74aa1104d7a4,2024-03-12 14:24:31 CET
22549,"Please read this text: <br><br><b>Sue runs a company that connects language learners with remote teachers who live all over the world. She’s trying to figure out how well her assistant, Cole, knows her remote teachers. Sue’s business partner tells her what Cole said about Charley, who lives in Mexico:<em> ""Cole thinks that Charley speaks Spanish.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Charley speaks Spanish?",90,html-slider-response,1,34059,0.0-1.0-0.0,50,NA,fef10d16-bd14-447d-ae70-74aa1104d7a4,2024-03-12 14:24:31 CET
